instance,strategy,alpha,seed,max_time,initial_obj,final_obj,total_time,iterations,customers_served,final_profit,final_distance,construction_time
50_c106_cap.json,best,1.0,42,120.0,-36.89999999999998,-17.799999999999955,0.005883455276489258,1,15,360.0,377.79999999999995,0.00047016143798828125
50_c106_cap.json,first,0.01,42,120.0,336.231,385.552,0.013695001602172852,3,17,390.0,444.79999999999995,0.0004909038543701172
50_c106_cap.json,first,0.1,42,120.0,302.31,345.52,0.012512683868408203,3,17,390.0,444.79999999999995,0.0005388259887695312
50_c106_cap.json,first,0.5,42,120.0,151.55,171.10000000000002,0.005843162536621094,1,15,360.0,377.79999999999995,0.00045680999755859375
50_c106_cap.json,first,1.0,42,120.0,-36.89999999999998,-17.799999999999955,0.006618976593017578,1,15,360.0,377.79999999999995,0.0004622936248779297
50_c107_cap.json,best,0.01,42,120.0,376.357,626.357,0.0729215145111084,7,21,630.0,364.3,0.0006690025329589844
50_c107_cap.json,best,0.1,42,120.0,343.57,593.57,0.07920408248901367,7,21,630.0,364.3,0.0005326271057128906
50_c107_cap.json,best,0.5,42,120.0,197.85,447.85,0.10750031471252441,7,21,630.0,364.3,0.0005068778991699219
50_c107_cap.json,best,1.0,42,120.0,15.699999999999989,316.29999999999995,0.07097601890563965,8,20,590.0,273.70000000000005,0.0006265640258789062
50_c107_cap.json,first,0.01,42,120.0,376.357,426.903,0.007511138916015625,3,16,430.0,309.70000000000005,0.0005753040313720703
50_c107_cap.json,first,0.1,42,120.0,343.57,399.03,0.007759571075439453,3,16,430.0,309.70000000000005,0.0005123615264892578
50_c107_cap.json,first,0.5,42,120.0,197.85,275.15,0.007364749908447266,3,16,430.0,309.70000000000005,0.000518798828125
50_c107_cap.json,first,1.0,42,120.0,15.699999999999989,165.10000000000002,0.010498762130737305,4,17,460.0,294.9,0.0005056858062744141
50_c108_cap.json,best,0.01,42,120.0,376.402,376.444,0.013405799865722656,2,15,380.0,355.59999999999997,0.000438690185546875
50_c108_cap.json,best,0.1,42,120.0,344.02,344.44,0.014162063598632812,2,15,380.0,355.59999999999997,0.00046753883361816406
50_c108_cap.json,best,0.5,42,120.0,200.10000000000002,202.20000000000002,0.0123443603515625,2,15,380.0,355.59999999999997,0.0006248950958251953
50_c108_cap.json,best,1.0,42,120.0,20.200000000000045,24.400000000000034,0.013330221176147461,2,15,380.0,355.59999999999997,0.0005795955657958984
50_c108_cap.json,first,0.01,42,120.0,376.402,376.444,0.006483316421508789,2,15,380.0,355.59999999999997,0.00044465065002441406
50_c108_cap.json,first,0.1,42,120.0,344.02,344.44,0.0064885616302490234,2,15,380.0,355.59999999999997,0.0004544258117675781
50_c108_cap.json,first,0.5,42,120.0,200.10000000000002,202.20000000000002,0.006376743316650391,2,15,380.0,355.59999999999997,0.0004413127899169922
50_c108_cap.json,first,1.0,42,120.0,20.200000000000045,24.400000000000034,0.006641387939453125,2,15,380.0,355.59999999999997,0.0004458427429199219
50_c109_cap.json,best,0.01,42,120.0,326.697,386.778,0.03044748306274414,5,14,390.0,322.2,0.0004429817199707031
50_c109_cap.json,best,0.1,42,120.0,296.97,357.78,0.02724146842956543,5,14,390.0,322.2,0.0004355907440185547
50_c109_cap.json,best,0.5,42,120.0,164.85,231.6,0.024704694747924805,5,14,390.0,316.8,0.00043487548828125
50_c109_cap.json,best,1.0,42,120.0,-0.30000000000001137,73.19999999999999,0.02453160285949707,5,14,390.0,316.8,0.0004241466522216797
50_c109_cap.json,first,0.01,42,120.0,326.697,406.182,0.00787806510925293,4,14,410.0,381.8,0.00042510032653808594
50_c109_cap.json,first,0.1,42,120.0,296.97,371.82,0.0076007843017578125,4,14,410.0,381.8,0.00042128562927246094
50_c109_cap.json,first,0.5,42,120.0,164.85,218.15,0.0076618194580078125,4,14,380.0,323.7,0.0004253387451171875
50_c109_cap.json,first,1.0,42,120.0,-0.30000000000001137,56.30000000000001,0.008129596710205078,4,14,380.0,323.7,0.0004172325134277344
50_r101_cap.json,best,0.01,42,120.0,117.844,354.313,0.05281233787536621,12,16,357.0,268.7,0.00037670135498046875
50_r101_cap.json,best,0.1,42,120.0,107.44,304.93,0.03269052505493164,9,14,326.0,210.7,0.00037384033203125
50_r101_cap.json,best,0.5,42,120.0,61.2,215.2,0.022992849349975586,7,12,290.0,149.6,0.00036644935607910156
50_r101_cap.json,best,1.0,42,120.0,3.4000000000000057,134.3,0.023838281631469727,7,12,270.0,135.7,0.0003712177276611328
50_r101_cap.json,first,0.01,42,120.0,117.844,348.17,0.01657271385192871,10,14,351.0,283.0,0.0003676414489746094
50_r101_cap.json,first,0.1,42,120.0,107.44,322.7,0.016589641571044922,10,14,351.0,283.0,0.000362396240234375
50_r101_cap.json,first,0.5,42,120.0,61.2,193.7,0.013608217239379883,8,13,297.0,206.60000000000002,0.0005009174346923828
50_r101_cap.json,first,1.0,42,120.0,3.4000000000000057,91.6,0.01884007453918457,9,12,248.0,156.4,0.0003731250762939453
50_r102_cap.json,best,0.01,42,120.0,247.464,278.051,0.010752677917480469,2,13,281.0,294.9,0.0004401206970214844
50_r102_cap.json,best,0.1,42,120.0,224.64,251.51,0.01073145866394043,2,13,281.0,294.9,0.00042629241943359375
50_r102_cap.json,best,0.5,42,120.0,123.20000000000002,146.20000000000002,0.004704952239990234,1,13,273.0,253.59999999999997,0.000431060791015625
50_r102_cap.json,best,1.0,42,120.0,-3.599999999999966,19.400000000000034,0.0046579837799072266,1,13,273.0,253.59999999999997,0.00042319297790527344
50_r102_cap.json,first,0.01,42,120.0,247.464,270.464,0.002037525177001953,1,13,273.0,253.59999999999997,0.0004229545593261719
50_r102_cap.json,first,0.1,42,120.0,224.64,247.64,0.002015829086303711,1,13,273.0,253.59999999999997,0.0004107952117919922
