initial_obj,final_obj,total_time,iterations,customers_served,final_profit,final_distance,construction_time,path,strategy,alpha,seed,op_set,shuffle,k_mod
379.78,379.78,0.0,0,18,430.0,502.20000000000005,1762534714.0426176,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.1,123,"('swap',)",True,1
482.81,489.40999999999997,0.006094217300415039,3,24,550.0,605.9000000000001,1762534714.046172,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.1,123,"('swap',)",True,3
379.78,475.02,0.05164027214050293,5,23,530.0,549.8,1762534714.056085,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.1,987,"('insert', 'relocate', 'swap', '2opt')",True,1
482.81,581.08,0.12779808044433594,8,31,650.0,689.2,1762534714.1223557,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.1,987,"('insert', 'relocate', 'swap', '2opt')",True,3
379.78,475.02,0.04304361343383789,5,23,530.0,549.8,1762534714.271932,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.1,987,"('insert', 'relocate', '2opt')",True,1
482.81,590.03,0.13087987899780273,10,32,660.0,699.6999999999999,1762534714.3272722,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.1,987,"('insert', 'relocate', '2opt')",True,3
379.78,475.02,0.04404187202453613,5,23,530.0,549.8,1762534714.4790466,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.1,987,"('insert', 'relocate')",True,1
482.81,590.03,0.14580607414245605,10,32,660.0,699.6999999999999,1762534714.5352569,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.1,987,"('insert', 'relocate')",True,3
379.78,379.78,0.0,0,18,430.0,502.20000000000005,1762534714.6998668,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.1,987,"('2opt',)",True,1
482.81,482.81,0.0,0,24,550.0,671.9,1762534714.7021523,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.1,987,"('2opt',)",True,3
379.78,475.02,0.048562049865722656,5,23,530.0,549.8,1762534714.7041526,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.1,987,"('insert', 'relocate', 'swap')",True,1
482.81,581.08,0.12433719635009766,8,31,650.0,689.2,1762534714.7700229,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.1,987,"('insert', 'relocate', 'swap')",True,3
379.78,379.78,0.0,0,18,430.0,502.20000000000005,1762534714.9164786,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.1,987,"('swap',)",True,1
482.81,489.40999999999997,0.0077931880950927734,3,24,550.0,605.9000000000001,1762534714.919535,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.1,987,"('swap',)",True,3
178.89999999999998,266.45,0.06483840942382812,6,24,530.0,527.1,1762534714.9345565,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,42,"('insert', 'relocate', 'swap', '2opt')",True,1
214.05,337.15,0.1297454833984375,9,30,640.0,605.7,1762534715.015405,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,42,"('insert', 'relocate', 'swap', '2opt')",True,3
178.89999999999998,266.45,0.057456254959106445,6,24,530.0,527.1,1762534715.1654716,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,42,"('insert', 'relocate', '2opt')",True,1
214.05,331.35,0.11653327941894531,10,30,630.0,597.3,1762534715.2374208,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,42,"('insert', 'relocate', '2opt')",True,3
178.89999999999998,266.45,0.05490708351135254,6,24,530.0,527.1,1762534715.371483,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,42,"('insert', 'relocate')",True,1
