initial_obj,final_obj,total_time,iterations,customers_served,final_profit,final_distance,construction_time,path,strategy,alpha,seed,op_set,shuffle,k_mod
709.26,742.59,0.06914401054382324,13,28,800.0,574.1,1763390070.3641553,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/c108_cap.json,first,0.1,42,"('swap',)",False,3
709.26,1208.99,2.227077007293701,40,57,1330.0,1210.1,1763390070.4464283,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/c108_cap.json,first,0.1,123,"('insert', 'relocate', 'swap', '2opt')",False,3
709.26,1191.19,1.1987226009368896,32,56,1320.0,1288.1,1763390072.8062418,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/c108_cap.json,first,0.1,123,"('insert', 'relocate', '2opt')",False,3
709.26,742.59,0.06449079513549805,13,28,800.0,574.1,1763390074.1076849,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/c108_cap.json,first,0.1,123,"('swap',)",False,3
709.26,1208.99,2.1781411170959473,40,57,1330.0,1210.1,1763390074.1841497,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/c108_cap.json,first,0.1,987,"('insert', 'relocate', 'swap', '2opt')",False,3
709.26,1191.19,1.210392713546753,32,56,1320.0,1288.1,1763390076.4978883,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/c108_cap.json,first,0.1,987,"('insert', 'relocate', '2opt')",False,3
709.26,742.59,0.06791114807128906,13,28,800.0,574.1,1763390077.8116686,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/c108_cap.json,first,0.1,987,"('swap',)",False,3
346.3,762.55,1.686915397644043,35,54,1240.0,954.9,1763390077.8922002,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/c108_cap.json,first,0.5,42,"('insert', 'relocate', 'swap', '2opt')",False,3
346.3,729.7,0.8315129280090332,26,52,1210.0,960.5999999999999,1763390079.6958253,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/c108_cap.json,first,0.5,42,"('insert', 'relocate', '2opt')",False,3
346.3,512.95,0.06811809539794922,13,28,800.0,574.1,1763390080.618973,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/c108_cap.json,first,0.5,42,"('swap',)",False,3
346.3,762.55,1.7084555625915527,35,54,1240.0,954.9,1763390080.6992009,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/c108_cap.json,first,0.5,123,"('insert', 'relocate', 'swap', '2opt')",False,3
346.3,729.7,0.8138716220855713,26,52,1210.0,960.5999999999999,1763390082.5265636,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/c108_cap.json,first,0.5,123,"('insert', 'relocate', '2opt')",False,3
346.3,512.95,0.06385540962219238,13,28,800.0,574.1,1763390083.4277992,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/c108_cap.json,first,0.5,123,"('swap',)",False,3
346.3,762.55,1.688075304031372,35,54,1240.0,954.9,1763390083.5037003,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/c108_cap.json,first,0.5,987,"('insert', 'relocate', 'swap', '2opt')",False,3
346.3,729.7,0.8231375217437744,26,52,1210.0,960.5999999999999,1763390085.3125017,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/c108_cap.json,first,0.5,987,"('insert', 'relocate', '2opt')",False,3
346.3,512.95,0.06822061538696289,13,28,800.0,574.1,1763390086.2288039,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/c108_cap.json,first,0.5,987,"('swap',)",False,3
409.15,961.42,0.873802900314331,23,42,1017.0,555.8000000000001,1763390086.3045216,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,best,0.1,42,"('insert', 'relocate', 'swap', '2opt')",False,3
409.15,864.96,0.4844703674316406,18,39,929.0,640.4,1763390087.2383156,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,best,0.1,42,"('insert', 'relocate', '2opt')",False,3
409.15,423.75,0.020628929138183594,6,23,475.0,512.5,1763390087.7653308,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,best,0.1,42,"('swap',)",False,3
409.15,961.42,0.8635635375976562,23,42,1017.0,555.8000000000001,1763390087.791163,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,best,0.1,123,"('insert', 'relocate', 'swap', '2opt')",False,3
409.15,864.96,0.48115110397338867,18,39,929.0,640.4,1763390088.7149806,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,best,0.1,123,"('insert', 'relocate', '2opt')",False,3
409.15,423.75,0.020725250244140625,6,23,475.0,512.5,1763390089.2381608,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,best,0.1,123,"('swap',)",False,3
409.15,961.42,0.8621370792388916,23,42,1017.0,555.8000000000001,1763390089.2641826,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,best,0.1,987,"('insert', 'relocate', 'swap', '2opt')",False,3
409.15,864.96,0.4738578796386719,18,39,929.0,640.4,1763390090.1864092,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,best,0.1,987,"('insert', 'relocate', '2opt')",False,3
409.15,423.75,0.018724441528320312,6,23,475.0,512.5,1763390090.7021143,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,best,0.1,987,"('swap',)",False,3
145.75,739.0999999999999,0.8858873844146729,23,42,1017.0,555.8000000000001,1763390090.7261124,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,best,0.5,42,"('insert', 'relocate', 'swap', '2opt')",False,3
145.75,608.8,0.4945406913757324,18,39,929.0,640.4,1763390091.672385,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,best,0.5,42,"('insert', 'relocate', '2opt')",False,3
